ID,text,target,url,date
ynat-v1_train_00001,삼성전자 KBIS 2018서 셰프컬렉션 선보여,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=263&oid=001&aid=0009801925,2018.01.10. 오전 8:33
ynat-v1_train_00002,LG G6 사면 BO 이어폰이 단돈 5천원,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=731&oid=001&aid=0009229739,2017.04.30. 오전 10:00
ynat-v1_train_00013,SK텔레콤 해킹불가능 장거리 양자암호통신 성공,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=227&oid=001&aid=0009345756,2017.06.19. 오전 9:18
ynat-v1_train_00017,마이크로소프트 2세대 무선 디스플레이 어댑터 출시,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=227&oid=001&aid=0008476202,2016.06.16. 오전 11:12
ynat-v1_train_00030,갤럭시S8 중동 상륙…28일 아랍에미리트 출시,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=731&oid=001&aid=0009181404,2017.04.12. 오전 9:24
ynat-v1_train_00037,영화 5만편 내려받아도 끄떡없다…삼성 신형 SSD 출시,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=261&oid=001&aid=0008424863,2016.05.24. 오후 11:00
ynat-v1_train_00046,게시판 SK텔링크 어르신 특화폰 효도의 신 2탄 출시,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=731&oid=001&aid=0010640780,2019.02.18. 오전 11:36
ynat-v1_train_00047,비싸도 잘 나가는 스마트폰…지난달 고가폰 판매 연중 최고치,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=731&oid=001&aid=0009764561,2017.12.21. 오전 7:00
ynat-v1_train_00064,나경복 개인 첫 트리플크라운…우리카드 구단 최다 타이 5연승,0,https://sports.news.naver.com/news.nhn?oid=001&aid=0011242394,2019.11.27 20:28
ynat-v1_train_00075,성화 넘기는 휴보,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=228&oid=001&aid=0009743511,2017.12.11. 오후 5:49
ynat-v1_train_00076,눈물 쏟은 문경은 선수 때 우승하고도 안 울었는데…,0,https://sports.news.naver.com/news.nhn?oid=001&aid=0010033402,2018.04.18 21:50
ynat-v1_train_00079,SKT 삼심마눤대 스마트폰 갤럭씨 와이드 단독 출시,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=227&oid=001&aid=0008514867,2016.07.03. 오전 9:00
ynat-v1_train_00084,빅텍 방위사업청에 60억원 규모 전자전장비 공급,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=001&aid=0008915385,2016.12.26. 오후 2:43
